Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C4, C7",0603,4,100nF,C14663
C10,0603,1,33nF,C21117
"C11, C2, C5, C6",0603,4,1uF,C15849
"C12, C13, C14, C15, C16, C17, C18, C19",0805,8,22uf,C45783
"C20, C21",1206,2,2.7nF,C282855
C8,0603,1,3.3nF,C1613
C9,0603,1,1nF,C1588
"D1, D3",SMB_L4.6-W3.6-LS5.4-RD,2,SMBJ5349B,C19077495
"D2, D4",SOD-323_L1.8-W1.3-LS2.5-RD,2,1N5819WS,C191023
"Q1, Q2",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,2,AO3400A,C20917
"R1, R3",0603,2,1k,C21190
"R10, R11, R2, R4, R8, R9",0603,6,47,C23182
"R12, R13",1206,2,100,C17901
"R14, R15, R16, R17, R5, R7",1206,6,100k,C17900
"R18, R19",0603,2,820,C23253
R6,0603,1,4.7k,C23162
U1,TSSOP-28_L9.8-W6.6-P0.65-BL,1,TDC1000PWR,C2653154
U2,TSSOP-14_L5.0-W4.4-P0.65-LS6.4-BL,1,TDC7200PWR,C2653139
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,10.24MHz,C270466
