Designator,Mid X,Mid Y,Rotation,Layer
C1,139.867114,-91.564142,0,top
C10,150.867114,-88.364142,180,top
C11,152.467102,-108.60615,180,top
C12,174.939177,-103.510115,270,top
C13,172.617127,-82.093107,270,top
C14,172.731248,-107.600115,90,top
C15,174.839177,-82.093107,270,top
C16,174.939177,-107.600115,90,top
C17,172.617127,-86.183107,90,top
C18,172.731248,-103.510115,270,top
C19,174.839177,-86.183107,90,top
C2,153.367114,-89.064142,270,top
C20,179.40687,-118.748107,0,top
C21,179.277139,-97.181099,0,top
C3,149.167114,-102.464142,90,top
C4,145.467114,-112.664142,90,top
C5,149.417102,-108.60615,180,top
C6,143.767114,-112.664142,90,top
C7,151.167102,-102.464142,90,top
C8,148.967114,-81.164142,0,top
C9,148.167114,-83.764142,270,top
D1,165.469501,-106.87312,90,top
D2,165.469501,-113.17312,270,top
D3,165.369501,-85.456112,90,top
D4,165.369501,-91.656112,270,top
Q1,165.367139,-117.223184,180,top
Q2,165.267139,-95.656112,180,top
R1,145.367114,-89.864142,0,top
R10,132.092102,-105.778521,180,top
R11,132.092102,-100.70615,180,top
R12,178.227139,-101.41812,270,top
R13,178.127139,-80.593107,270,top
R14,179.377139,-115.725582,0,top
R15,179.277139,-91.156048,0,top
R16,179.377139,-112.723056,0,top
R17,179.277139,-94.158574,0,top
R18,159.907102,-82.68115,90,top
R19,158.107102,-82.68115,90,top
R2,147.567114,-102.464142,270,top
R3,149.967114,-83.764142,90,top
R4,140.067114,-110.964142,0,top
R5,139.867114,-116.664142,0,top
R6,149.067114,-86.364142,0,top
R7,139.867114,-113.964142,0,top
R8,132.092102,-110.858521,180,top
R9,132.092102,-108.318521,180,top
U1,148.667114,-95.964142,180,top
U2,142.459811,-106.019984,180,top
Y1,139.867114,-94.864142,270,top
